## vdj_pipe v0.1.5-15-gffd7271~; clang7.0.2; Boost1.57.0; build:20160217; 2016-Feb-17 21:22:21 UTC
read_id	total_copies	exact_copies	mismatched_ends	5'-mismatch	3'-mismatch
IS9DOBB01BRVK1	2	2	0	0	0
IS9DOBB01A1V1R	1	1	0	0	0
IS9DOBB01D4QU7	1	1	0	0	0
IS9DOBB01C7KM1	2	2	0	0	0
IS9DOBB01C6KU3	1	1	0	0	0
IS9DOBB01CJQ1M	1	1	0	0	0
IS9DOBB01A77AV	1	1	0	0	0
IS9DOBB01BL025	2	2	0	0	0
IS9DOBB01ARCXW	2	2	0	0	0
IS9DOBB01BDEE4	1	1	0	0	0
IS9DOBB01D9A9M	3	3	0	0	0
IS9DOBB01CVCKD	1	1	0	0	0
IS9DOBB01AYIUD	1	1	0	0	0
IS9DOBB01C767O	3	3	0	0	0
IS9DOBB01EZXRU	1	1	0	0	0
IS9DOBB01EBEBP	5	5	0	0	0
IS9DOBB01D2ZUJ	2	2	0	0	0
IS9DOBB01CYUN7	1	1	0	0	0
IS9DOBB01ENW5M	1	1	0	0	0
IS9DOBB01BQRID	3	3	0	0	0
IS9DOBB01DZ745	1	1	0	0	0
IS9DOBB01ASOCX	1	1	0	0	0
IS9DOBB01B2V7D	7	7	0	0	0
IS9DOBB01BLEA1	1	1	0	0	0
IS9DOBB01DMKTC	3	3	0	0	0
IS9DOBB01AYIRB	1	1	0	0	0
IS9DOBB01BMGJ0	1	1	0	0	0
IS9DOBB01CKM1T	5	5	0	0	0
IS9DOBB01AN7WY	1	1	0	0	0
IS9DOBB01C54I7	1	1	0	0	0
IS9DOBB01CEQZK	1	1	0	0	0
IS9DOBB01DPMAG	1	1	0	0	0
IS9DOBB01ANT83	1	1	0	0	0
IS9DOBB01EYUQU	1	1	0	0	0
IS9DOBB01DGQ97	1	1	0	0	0
IS9DOBB01AF6WD	4	4	0	0	0
IS9DOBB01BLH47	2	2	0	0	0
IS9DOBB01DPWWO	2	2	0	0	0
IS9DOBB01DAG1H	9	9	0	0	0
IS9DOBB01B6ZCF	1	1	0	0	0
IS9DOBB01CZLXZ	1	1	0	0	0
IS9DOBB01EGLRQ	1	1	0	0	0
IS9DOBB01EZNKO	2	2	0	0	0
IS9DOBB01DZ53F	3	3	0	0	0
IS9DOBB01ARY3W	1	1	0	0	0
IS9DOBB01AWDA9	3	3	0	0	0
IS9DOBB01BEI51	1	1	0	0	0
IS9DOBB01DBJ12	2	2	0	0	0
IS9DOBB01ANXWI	1	1	0	0	0
IS9DOBB01C411W	1	1	0	0	0
IS9DOBB01D2GYH	1	1	0	0	0
IS9DOBB01DPIJZ	2	2	0	0	0
IS9DOBB01ATC7B	1	1	0	0	0
IS9DOBB01B0EJL	3	3	0	0	0
IS9DOBB01CGR7V	2	2	0	0	0
IS9DOBB01D81GX	1	1	0	0	0
IS9DOBB01B7Q74	1	1	0	0	0
IS9DOBB01B5JXX	1	1	0	0	0
IS9DOBB01C5PHV	3	3	0	0	0
IS9DOBB01ETGI5	2	2	0	0	0
IS9DOBB01CDQJ5	1	1	0	0	0
IS9DOBB01AI6U2	1	1	0	0	0
IS9DOBB01AV33A	3	3	0	0	0
IS9DOBB01EL6S5	1	1	0	0	0
IS9DOBB01BPRMO	3	3	0	0	0
IS9DOBB01BOIIZ	1	1	0	0	0
IS9DOBB01BTWWU	1	1	0	0	0
IS9DOBB01A8RG3	1	1	0	0	0
IS9DOBB01B3EFY	1	1	0	0	0
IS9DOBB01CYASZ	1	1	0	0	0
IS9DOBB01ANJ7C	3	3	0	0	0
IS9DOBB01COFKP	1	1	0	0	0
IS9DOBB01B268E	1	1	0	0	0
IS9DOBB01B6GF5	5	5	0	0	0
IS9DOBB01DVKNV	1	1	0	0	0
IS9DOBB01BOEDO	1	1	0	0	0
IS9DOBB01AOZWM	1	1	0	0	0
IS9DOBB01C40GR	2	2	0	0	0
IS9DOBB01AXKN1	1	1	0	0	0
IS9DOBB01CSZ1A	1	1	0	0	0
IS9DOBB01COQ7E	1	1	0	0	0
IS9DOBB01DBF77	2	2	0	0	0
IS9DOBB01EVT6H	6	6	0	0	0
IS9DOBB01ELT0G	1	1	0	0	0
IS9DOBB01BZT1V	1	1	0	0	0
IS9DOBB01A8EPN	2	2	0	0	0
IS9DOBB01EVCHQ	1	1	0	0	0
IS9DOBB01EE5AR	1	1	0	0	0
IS9DOBB01EKLYU	1	1	0	0	0
IS9DOBB01CRQ5B	3	3	0	0	0
IS9DOBB01DZZTV	1	1	0	0	0
IS9DOBB01EYBWP	18	18	0	0	0
IS9DOBB01D5XWF	1	1	0	0	0
IS9DOBB01CA195	1	1	0	0	0
IS9DOBB01C8DSK	1	1	0	0	0
IS9DOBB01B6QF5	7	7	0	0	0
IS9DOBB01EFWQK	1	1	0	0	0
IS9DOBB01CNAHM	4	4	0	0	0
